web-scraper-order,web-scraper-start-url,bag,bag-href,metin,tarih
"1549393683-464","http://www.hurriyet.com.tr/arama/#/?page=27&key=ibm&where=/&how=Article&platform=/&isDetail=false","Google'ın yapay zekası Go efsanesini yendi                                 İnsanlık ve yapay zeka için tarihi bir gün... Google tarafından geliştirilen AlphaGo yazılımı, Go oyununun efsanesi Lee Sedol ile karşılaştı. 5 maç olması planlanan karşılaşmanın ilk üçünün galibi ise AlphaGo oldu. Seride iki karşılaşma daha yapılacak, ancak AlphaGo 3-0 öne geçtiği için Lee'nin kazanma ihtimali kalmadı.","http://www.hurriyet.com.tr/teknoloji/googlein-yapay-zekasi-go-efsanesini-yendi-40067615","İnsanlık ve yapay zeka için tarihi bir gün... Google tarafından geliştirilen AlphaGo yazılımı, Go oyununun efsanesi Lee Sedol ile karşılaştı. 5 maç olması planlanan karşılaşmanın ilk üçünün galibi ise AlphaGo oldu. Seride iki karşılaşma daha yapılacak, ancak AlphaGo 3-0 öne geçtiği için Lee'nin kazanma ihtimali kalmadı.","12.03.2016 - 15:27"
"1549394112-467","http://www.hurriyet.com.tr/arama/#/?page=26&key=ibm&where=/&how=Article&platform=/&isDetail=false","Bu teknolojiler yakın geleceğimizi şekillendirecek                                 Gelecek teknolojileri dendiğinde hayal dünyanız sizi çok uzaklara, Alis Harikalar Diyarı’na götürüyor olabilir. Ancak yakın geleceğimizi şekillendirecek teknolojiler o kadar da uzakta değil. IBM, 70 ülkede, 21 farklı sektörden 5 bin 247 yönetici ile yüz yüze anketler gerçekleştirerek, “Gelecek 10 yıla damgasını vuracak teknoloji ne olabilir?” diye sordu. Verilen cevaplar ütopik değil, aslında şu anda zaten var olan teknolojiler.","http://www.hurriyet.com.tr/egitim/bu-teknolojiler-yakin-gelecegimizi-sekillendirecek-40053997","Gelecek teknolojileri dendiğinde hayal dünyanız sizi çok uzaklara, Alis Harikalar Diyarı’na götürüyor olabilir. Ancak yakın geleceğimizi şekillendirecek teknolojiler o kadar da uzakta değil. IBM, 70 ülkede, 21 farklı sektörden 5 bin 247 yönetici ile yüz yüze anketler gerçekleştirerek, “Gelecek 10 yıla damgasını vuracak teknoloji ne olabilir?” diye sordu. Verilen cevaplar ütopik değil, aslında şu anda zaten var olan teknolojiler.","13.02.2016 - 09:57"
"1549377109-65","http://www.hurriyet.com.tr/arama/#/?page=78&key=ibm&where=/&how=Article&platform=/&isDetail=false","‘Cinsiyet eşitliği akıllı ekonomi’ çağrısı yaptı 11 şirket kolları sıvadı                                 Türkiye Kadın Girişimciler Derneği (KAGİDER) ve Dünya Bankası, “Türk şirketlerine yönelik ilk Cinsiyet Eşitliği Sertifika Programı”nı başlattı. Kadın-erkek fırsat eşitliğine katkıda bulunulması amaçlanan projenin ilk aşamasında sertifika almak için 11 şirket başvuruda bulundu. Dünya Bankası Başkanı Robert Zoellick, “Cinsiyet eşitliği verimlilik artışı sağlar” dedi.","http://www.hurriyet.com.tr/ekonomi/cinsiyet-esitligi-akilli-ekonomi-cagrisi-yapti-11-sirket-kollari-sivadi-18302098","Türkiye Kadın Girişimciler Derneği (KAGİDER) ve Dünya Bankası, “Türk şirketlerine yönelik ilk Cinsiyet Eşitliği Sertifika Programı”nı başlattı. Kadın-erkek fırsat eşitliğine katkıda bulunulması amaçlanan projenin ilk aşamasında sertifika almak için 11 şirket başvuruda bulundu. Dünya Bankası Başkanı Robert Zoellick, “Cinsiyet eşitliği verimlilik artışı sağlar” dedi.","21.07.2011 - 00:00"
"1549378589-343","http://www.hurriyet.com.tr/arama/#/?page=42&key=ibm&where=/&how=Article&platform=/&isDetail=false","1500 bilgisayarın işini yapıyor                                 Dünyanın en büyük yazılım ve donanım şirketlerinden IBM, 1500 bilgisayarın işini tek başına yapabilen anabilgisayar geliştirdi.","http://www.hurriyet.com.tr/teknoloji/1500-bilgisayarin-isini-yapiyor-8417027","Dünyanın en büyük yazılım ve donanım şirketlerinden IBM, 1500 bilgisayarın işini tek başına yapabilen anabilgisayar geliştirdi.","10.03.2008 - 10:27"
"1549414465-635","http://www.hurriyet.com.tr/arama/#/?page=8&key=ibm&where=/&how=Article&platform=/&isDetail=false","Özel Sektör Gönüllüler Derneği'nin “Gönülden Ödüller”i dağıtıldı                                 Özel Sektör Gönüllüler Derneği'nin “Gönülden Ödüller”i dağıtıldı","http://www.hurriyet.com.tr/ozel-sektor-gonulluler-derneginin-gonulden-od-40841309","Özel Sektör Gönüllüler Derneği'nin “Gönülden Ödüller”i dağıtıldı","null"
"1549408059-586","http://www.hurriyet.com.tr/arama/#/?page=14&key=ibm&where=/&how=Article&platform=/&isDetail=false","Hamdi Ulukaya'nın sahibi olduğu Chobani, ‘Dünyayı Değiştirenler Şirketler listesine girdi...                                 Fortune dergisi, Dünyayı Değiştiren Şirketler listesinde bu yıl Hamdi Ulukaya’nın sahibi olduğu Chobani markasına yer verdi. Chobani listeye mülteci istihdamı, Türkiye’deki faaliyetleri ve şirket hisselerini çalışanlarla paylaşması nedeniyle girdi.","http://www.hurriyet.com.tr/ekonomi/hamdi-ulukayanin-sahibi-oldugu-chobani-dunyayi-degistirenler-sirketler-listesine-girdi-40575087","Fortune dergisi, Dünyayı Değiştiren Şirketler listesinde bu yıl Hamdi Ulukaya’nın sahibi olduğu Chobani markasına yer verdi. Chobani listeye mülteci istihdamı, Türkiye’deki faaliyetleri ve şirket hisselerini çalışanlarla paylaşması nedeniyle girdi.","11.09.2017 - 09:00"
"1549390011-435","http://www.hurriyet.com.tr/arama/#/?page=30&key=ibm&where=/&how=Article&platform=/&isDetail=false","Maç sayısı 235 milyon dolar                                 Wimbledon Tenis Turnuvası’nda boy gösterecek tenisçiler 13 günde 41.1 milyon doların sahibi olacak. Bu yıl sponsor, TV gelirleri ve bilet hasılatından ise Wimbledon Tenis Turnuvası 235 milyon dolar gelir sağlayacak.","http://www.hurriyet.com.tr/ekonomi/mac-sayisi-235-milyon-dolar-29404912","Wimbledon Tenis Turnuvası’nda boy gösterecek tenisçiler 13 günde 41.1 milyon doların sahibi olacak. Bu yıl sponsor, TV gelirleri ve bilet hasılatından ise Wimbledon Tenis Turnuvası 235 milyon dolar gelir sağlayacak.","29.06.2015 - 01:31"
"1549420804-685","http://www.hurriyet.com.tr/arama/#/?page=2&key=ibm&where=/&how=Article&platform=/&isDetail=false","Tuz tanesi kadar bilgisayar                                 TEKNOLOJİ şirketi IBM, tuz tanesinden küçük bir bilgisayar üretti.","http://www.hurriyet.com.tr/ekonomi/tuz-tanesi-kadar-bilgisayar-40780178","TEKNOLOJİ şirketi IBM, tuz tanesinden küçük bir bilgisayar üretti.","21.03.2018 - 21:45"
"1549407209-579","http://www.hurriyet.com.tr/arama/#/?page=15&key=ibm&where=/&how=Article&platform=/&isDetail=false","Dev şirketten ""USB bellekleri imha edin"" uyarısı                                 Teknoloji devi IBM, müşterilerine hediye olarak sunduğu USB bellekler için şok bir açıklama yaptı: ""Kullanmayın; hemen imha edin!""","http://www.hurriyet.com.tr/teknoloji/dev-sirketten-usb-bellekleri-imha-edin-uyarisi-40449004","Teknoloji devi IBM, müşterilerine hediye olarak sunduğu USB bellekler için şok bir açıklama yaptı: ""Kullanmayın; hemen imha edin!""","06.05.2017 - 10:04"
"1549377704-176","http://www.hurriyet.com.tr/arama/#/?page=63&key=ibm&where=/&how=Article&platform=/&isDetail=false","Gıda ve içecek devlerinin ’formülüm çok gizli’ yarışı                                 59 yıllık 11 baharatlı gizli formül ile sadece Amerika’da 5.3 milyar dolarlık cirolu bir zincir haline gelen KFC bu formülün gizli kalması için güvenlik önlemlerini artırma kararı aldı.","http://www.hurriyet.com.tr/ekonomi/gida-ve-icecek-devlerinin-formulum-cok-gizli-yarisi-9861007","59 yıllık 11 baharatlı gizli formül ile sadece Amerika’da 5.3 milyar dolarlık cirolu bir zincir haline gelen KFC bu formülün gizli kalması için güvenlik önlemlerini artırma kararı aldı.","10.09.2008 - 00:00"
