web-scraper-order,web-scraper-start-url,tarih,link,link-href,intro
"1600195403-426","https://www.hurriyet.com.tr/arama/#/?page=208&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","5.7.2016","DT’den  sosyal sahne","","Devlet Tiyatroları’nın sosyal sorumluluk projeleri sezona damgasını vurdu. DT, bu yıl sanatsal faaliyetlerden engelliler, mahkumlar ile dezavantajlı grupların yararlanabilmesi ve bazı hastalıkları toplumun daha iyi tanıyabilmesi için bir çok sosyal sorumluluk projesini hayata geçirdi."
"1600195816-2287","https://www.hurriyet.com.tr/arama/#/?page=22&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","1.4.2010","Deniz kaplumbağalarına görülmemiş işkence","","Biri ya da birileri Hatay’da 3 deniz kaplumbağasını naylon iple kafalarından birbirine bağladı. Birbirlerinden kurtulmak için çırpınan kaplumbağalar suyun dibine batarak öldüler. Bu inanılmaz vahşeti görenler ise gözlerine inanamadı."
"1600195860-2490","https://www.hurriyet.com.tr/arama/#/?page=2&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","28.8.2020","Kıskançlık: Nedir? Ne Değildir? Sevgi Gösterme Şekli Midir?","","Tüm dünyada olduğu gibi ülkemizde de şiddet, özellikle de kadına şiddet çok önemli bir sorun olarak karşımıza çıkıyor. Hemen hemen her seferinde de şiddet uygulayan kişi “Çok seviyorum, çok kıskandım” şeklindeki sözleriyle kendini haklı çıkarmaya çalışıyor. Peki bir kadını döve döve öldürmeye, bıçaklamaya, yakmaya, hatta üzerine beton dökmeye bile neden olan bu kıskançlık nasıl bir “sevgi” gösterisidir? “Sevgi” gösterisi değil de aksine karşı tarafın hayatını zehir eden çok büyük bir saygısızlık mıdır yoksa her türlü kıskançlık?"
"1600195616-1389","https://www.hurriyet.com.tr/arama/#/?page=112&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","10.9.2019","Avrupa da kadınları koruyamıyor!","","Kadın cinayetleri rakamları bakımından Fransa, Avrupa Birliği’nde başı çekiyor. Fransa Cumhurbaşkanı Emmanuel Macron aile içi şiddete karşı ülke çapında bir kampanya başlattı. Bu tür olayları ihbar etmeye yönelik bir telefon hattına gelen bir çağrıyı dinleyerek konu hakkında bilgi aldı. Cinsiyet eşitliği bakımından örnek gösterilen Finlandiya bile kadın cinayetleri konusunda en yüksek oranlarda sahip. Diğer Avrupa ülkeleri de sosyal sınıf ayrımı gözetmeden meydana gelen kadın cinayetleri konusunda çeşitli önlemler almaya çalışıyor."
"1600195656-1568","https://www.hurriyet.com.tr/arama/#/?page=94&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","7.3.2018","AKMEK'ten 'Parlayan İnciler' sergisi","","AKMEK'ten 'Parlayan İnciler' sergisi"
"1600195392-379","https://www.hurriyet.com.tr/arama/#/?page=213&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","11.8.2017","Gülşen, Bodrum'da kabusu yaşadı","","Bodrum’da sahne alan Gülşen, otel odasında eşi tarafından şiddet gören bir kadına rastladığını ve kabus gibi bir gece yaşadığını söyledi."
"1600195337-134","https://www.hurriyet.com.tr/arama/#/?page=237&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","8.12.2014","Anayasa profesörünün kızı da kadına şiddet kurbanı","","Vefat eden Prof. Orhan Aldıkaçtı'nın kızı Sibel Aldıkaçtı (58), ortağı Dilek Ayazoğlu'nun (42) ayrılmak üzere olduğu eşinin bıçaklı saldırısında ağır yaralandı. İki kadını da ağır yaralayan Yavuz Ayazoğlu (49) tutuklanıp cezaevine konuldu."
"1600195667-1613","https://www.hurriyet.com.tr/arama/#/?page=89&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","11.6.2011","Kezzaplı kocaya rekor ceza","","Eski karısına kezzap attığı için “Kasten yaralamak” suçundan yargılanan Müslüm Coşkun’u, mahkeme “Öldürmeye teşebbüs”ten 24 yıl 8 ay hapis cezasına çarptırdı. Yargıtay da “Karar yerinde” dedi."
"1600195414-472","https://www.hurriyet.com.tr/arama/#/?page=203&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","14.5.2019","'Kadına şiddeti' protesto ediyordu, saldırıya uğradı","","Bursalı tiyatrocu, giydiği karınca kostümü ile kadınlara yönelik şiddeti protesto etmek isterken, yoldan geçen bir vatandaşın saldırısına uğradı."
"1600195851-2446","https://www.hurriyet.com.tr/arama/#/?page=6&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","9.8.2020","Ayvalık'ta bir eğlence mekanında darp iddiası! 'Tehdit mesajları geliyor'","","Ayvalık'ta gittikleri bir eğlence mekanında annesi ile birlikte darp edildiğini iddia eden 21 yaşındaki Açelya Çelik, mekanın işletmecilerinden şikayetçi oldu. Darp raporunda burnunda kırık ve vücudunun çeşitli yerlerinde ezilmeler olduğu belirtilen genç kız, ""Kadına şiddet artık son bulsun. Başka kimsenin başına gelmesini istemiyorum"" dedi. Tehdit mesajları geldiğini iddia eden Çelik, ''Arkadaşlarıma mesaj atıp tehditler savuruyorlar. 'Ben sizi dava edeceğim' diyor. Orada da zaten tehdit etmişlerdi. 'Şikayetinizi geri çekmezseniz İstanbul'a gelir sizi vururuz. Geleceğin mahvolur' Açelya demişlerdi. Ve ben gerçekten korkmuştum'' diye konuştu. Öte yandan yazılı açıklama yapan işletme sahiplerinden Mukaddes A. da ''Kibarca çıkıp gitmesini istediğimiz müşterinin linç kampanyası başlatmasının ardında farklı amaçlar olabileceği düşüncesindeyiz"" ifadelerini kullandı."
